Model,Accuracy,Precision,Recall,AUC,MSE,R2
Linear Regression,0.9473684210526315,,,,0.06073057899988056,0.7414822781911405
Logistic Regression,0.9824561403508771,1.0,0.9534883720930233,0.99737962659679,,
Decision Tree,0.9210526315789473,0.8863636363636364,0.9069767441860465,0.9182771044873894,,
Random Forest,0.9649122807017544,0.975609756097561,0.9302325581395349,0.99475925319358,,
Support Vector Machine,0.9736842105263158,0.9761904761904762,0.9534883720930233,0.99475925319358,,
k-NN,0.9649122807017544,0.9534883720930233,0.9534883720930233,0.9832951195545364,,
XGBoost,0.9649122807017544,0.975609756097561,0.9302325581395349,0.9954143465443825,,
